--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
28,Dillon Brooks,SF,25,MEM,5,5,175,13.8,26.7,.515,2.2,5.5,.400,11.6,21.2,.545,5.8,7.2,.808,1.4,4.4,5.8,3.0,1.9,0.6,2.5,4.7,35.6,,117,125,brookdi01
29,Bruce Brown,PG,24,BRK,12,5,277,7.2,14.3,.506,0.4,2.0,.182,6.9,12.3,.559,2.3,2.9,.813,4.1,6.9,11.0,4.5,1.4,0.9,2.0,5.6,17.1,,119,110,brownbr01
30,Jalen Brunson,PG,24,DAL,7,0,114,9.2,20.2,.455,2.8,6.0,.462,6.4,14.2,.452,4.6,6.0,.769,2.8,5.5,8.3,4.6,0.0,0.0,1.8,2.8,25.7,,119,126,brunsja01
31,Elijah Bryant,SG,25,MIL,11,0,50,6.9,19.8,.350,0.0,7.9,.000,6.9,11.9,.583,0.0,0.0,,2.0,9.9,11.9,4.0,2.0,1.0,2.0,1.0,13.9,,82,106,bryanel01
32,Reggie Bullock,SF,29,NYK,5,5,162,4.7,12.3,.385,3.2,9.2,.345,1.6,3.2,.500,1.3,1.6,.800,1.6,3.8,5.4,1.9,0.9,0.3,1.3,3.5,13.9,,108,114,bullore01
33,Trey Burke,PG,28,DAL,2,0,17,0.0,21.5,.000,0.0,9.2,.000,0.0,12.3,.000,3.1,6.2,.500,3.1,0.0,3.1,3.1,0.0,0.0,0.0,3.1,3.1,,34,129,burketr01
34,Alec Burks,SG,29,NYK,5,0,128,9.6,22.4,.429,3.2,9.6,.333,6.4,12.8,.500,5.6,7.6,.737,2.0,8.0,10.0,5.2,0.4,0.0,1.6,4.4,28.0,,116,114,burksal01
35,Jimmy Butler,SF,31,MIA,4,4,154,6.0,20.2,.297,1.3,4.7,.267,4.7,15.4,.306,5.0,6.9,.727,1.9,7.6,9.5,8.8,1.6,0.3,2.8,1.9,18.3,,90,116,butleji01
36,Kentavious Caldwell-Pope,SG,27,LAL,5,5,146,3.9,10.2,.379,1.4,6.7,.211,2.5,3.5,.700,1.8,1.8,1.000,0.7,4.2,4.9,1.8,1.8,0.0,0.7,5.3,10.9,,106,113,caldwke01
37,Facundo Campazzo,PG,29,DEN,10,9,270,5.4,13.7,.392,3.5,8.9,.396,1.8,4.8,.385,3.0,3.5,.842,1.3,4.2,5.5,7.6,2.6,0.7,2.8,6.5,17.2,,116,121,campafa01
38,Vlatko Čančar,PF,23,DEN,5,0,21,7.1,7.1,1.000,2.4,2.4,1.000,4.7,4.7,1.000,9.5,11.9,.800,0.0,7.1,7.1,2.4,2.4,2.4,2.4,0.0,26.1,,172,118,cancavl01
39,Clint Capela,C,26,ATL,18,18,569,7.1,11.8,.603,0.0,0.0,,7.1,11.8,.603,1.5,3.4,.436,5.3,12.2,17.5,1.5,1.0,1.7,1.6,4.0,15.8,,122,108,capelca01
40,Jevon Carter,PG,25,PHO,7,0,22,6.9,18.4,.375,0.0,4.6,.000,6.9,13.8,.500,0.0,4.6,.000,0.0,4.6,4.6,9.2,0.0,0.0,0.0,0.0,13.8,,90,116,carteje01
41,Alex Caruso,PG,26,LAL,6,0,121,5.9,16.1,.368,2.1,7.2,.294,3.8,8.9,.429,0.8,0.8,1.000,0.8,2.5,3.4,1.3,0.4,1.7,3.0,5.1,14.8,,82,115,carusal01
42,Willie Cauley-Stein,C,27,DAL,6,0,63,5.0,7.5,.667,0.0,0.0,,5.0,7.5,.667,2.5,2.5,1.000,2.5,10.8,13.3,2.5,1.7,3.3,2.5,6.6,12.5,,126,114,caulewi01
43,Chris Chiozza,PG,25,BRK,6,0,19,5.3,18.4,.286,2.6,7.9,.333,2.6,10.5,.250,0.0,0.0,,0.0,2.6,2.6,2.6,2.6,0.0,2.6,5.3,13.2,,70,111,chiozch01
44,Brandon Clarke,PF,24,MEM,2,0,9,5.4,10.7,.500,0.0,0.0,,5.4,10.7,.500,0.0,0.0,,0.0,5.4,5.4,0.0,0.0,5.4,0.0,0.0,10.7,,103,123,clarkbr01
45,Jordan Clarkson,SG,28,UTA,11,0,298,11.2,27.6,.406,5.7,16.2,.351,5.5,11.4,.485,4.2,4.3,.962,1.0,4.7,5.7,2.8,1.2,0.5,3.8,2.5,32.3,,105,124,clarkjo01
46,Nic Claxton,C,21,BRK,12,0,130,5.4,11.1,.483,0.0,0.0,,5.4,11.1,.483,0.8,1.2,.667,5.4,7.3,12.7,2.7,1.5,4.6,1.5,7.7,11.5,,115,105,claxtni01
47,Amir Coffey,SG,23,LAC,10,0,16,9.7,12.9,.750,3.2,3.2,1.000,6.5,9.7,.667,0.0,3.2,.000,0.0,6.5,6.5,3.2,3.2,0.0,3.2,0.0,22.6,,121,114,coffeam01
48,John Collins,PF,23,ATL,18,18,576,8.6,15.7,.549,1.7,4.8,.357,6.9,10.8,.635,2.6,3.1,.833,3.1,10.4,13.5,1.4,0.7,0.9,2.0,5.1,21.5,,121,111,collijo01
49,Mike Conley,PG,33,UTA,6,6,176,8.2,19.3,.426,5.1,10.5,.486,3.1,8.8,.355,4.5,4.5,1.000,0.8,5.1,5.9,13.0,0.3,0.8,4.0,4.2,26.1,,129,125,conlemi01
50,Pat Connaughton,SG,28,MIL,23,1,546,5.0,10.8,.462,3.4,8.6,.389,1.6,2.2,.750,1.0,1.2,.846,2.6,6.5,9.2,1.8,0.9,0.5,1.1,3.4,14.3,,130,110,connapa01
51,DeMarcus Cousins,C,30,LAC,7,0,58,16.9,37.5,.452,3.6,8.9,.400,13.4,28.5,.469,9.8,12.5,.786,5.4,7.1,12.5,4.5,1.8,2.7,4.5,11.6,47.3,,110,113,couside01
52,Robert Covington,PF,30,POR,6,6,228,4.0,8.0,.500,2.4,4.9,.500,1.6,3.1,.500,2.0,2.2,.900,2.0,8.4,10.4,1.6,2.0,1.3,1.8,4.4,12.4,,127,120,covinro01
53,Torrey Craig,SF,30,PHO,22,0,266,6.1,14.2,.427,2.8,7.0,.405,3.2,7.2,.447,1.5,2.5,.615,3.6,8.4,12.0,1.7,0.2,1.5,1.9,6.3,16.5,,109,111,craigto01
54,Jae Crowder,PF,30,PHO,22,22,729,5.3,12.7,.413,3.7,9.8,.380,1.5,2.9,.524,2.1,2.4,.886,0.7,8.6,9.3,2.8,1.3,1.2,1.3,4.6,16.4,,116,109,crowdja01
55,Seth Curry,SG,30,PHI,12,12,381,10.7,18.5,.578,5.2,10.2,.506,5.5,8.3,.667,1.9,2.4,.789,0.5,3.0,3.5,3.5,1.1,0.4,1.3,4.1,28.4,,138,113,curryse01
56,Anthony Davis,PF,27,LAL,5,5,144,8.9,22.0,.403,0.7,3.9,.182,8.2,18.1,.451,12.4,14.9,.833,2.5,9.2,11.7,4.6,1.1,2.8,2.1,3.2,30.9,,116,108,davisan02
57,Dewayne Dedmon,C,31,MIA,4,0,57,8.5,15.3,.556,0.9,2.6,.333,7.7,12.8,.600,3.4,4.3,.800,6.8,8.5,15.3,2.6,0.0,1.7,5.1,8.5,21.3,,106,117,dedmode01
58,Mamadi Diakite,PF,24,MIL,7,0,35,2.8,14.2,.200,1.4,2.8,.500,1.4,11.3,.125,2.8,2.8,1.000,1.4,8.5,9.9,0.0,4.2,1.4,1.4,9.9,9.9,,72,100,diakima01
59,Donte DiVincenzo,SG,24,MIL,3,3,70,2.1,11.3,.188,1.4,8.5,.167,0.7,2.8,.250,0.0,0.0,,1.4,12.0,13.5,5.7,2.1,0.7,4.2,2.8,5.7,,63,105,divindo01
60,Luka Dončić,PG,21,DAL,7,7,281,17.9,36.5,.490,5.8,14.1,.408,12.1,22.3,.542,5.0,9.5,.529,0.7,9.5,10.2,13.4,1.7,0.6,6.0,3.2,46.5,,114,119,doncilu01
61,Goran Dragić,PG,34,MIA,4,2,117,9.5,22.4,.426,3.7,10.8,.346,5.8,11.6,.500,3.7,5.0,.750,0.4,2.5,2.9,4.6,1.7,0.8,2.5,4.6,26.5,,102,119,dragigo01
62,Andre Drummond,C,27,LAL,5,5,105,9.3,15.6,.594,0.0,0.0,,9.3,15.6,.594,3.4,4.9,.700,9.3,17.5,26.8,0.0,1.9,1.5,5.4,5.8,21.9,,106,104,drumman01
63,Jared Dudley,PF,35,LAL,2,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,119,dudleja01
